name,category,address,lat,lon
Estadi Olímpic de Montjuïc Lluís Companys,destacat,Passeig Olímpic 17,41.365,2.156
Spotify Camp Nou * Tancat per remodelació,otro,C Aristides Maillol 12,41.381,2.123
Parc de la Trinitat,Parc,Pg Santa Coloma 60,41.449,2.196
Federació de Comerciants de Barna Centre,Centre,Carrer del Paradís 10,41.383,2.177
Platja de la Mar Bella,Platja,Passeig Marítim de la Mar Bella 104,41.399,2.212
Ca n'Andalet,otro,Passatge d'Andalet 11,41.427,2.154
CosmoCaixa Barcelona,otro,Carrer d'Isaac Newton 26,41.413,2.131
Associació de Comerciants del Carrer Gran de Gràcia,otro,Carrer Gran de Gràcia 86,41.4,2.155
Museu Reial Monestir de Santa Maria de Pedralbes,Museu,Baixada del Monestir 9,41.396,2.112
Reial Club de Tennis Barcelona  1899,Club,C Bosch i Gimpera 5,41.394,2.118
Memorial de les Dones Represaliades a la Presó de Dones de les Corts,otro,Carrer d'Europa 13,41.387,2.129
Hospital de la Santa Creu i Sant Pau,otro,C Sant Quintí 89,41.415,2.174
Centre Cívic La Sedeta,Centre,Carrer de Sicília 321,41.406,2.168
Parròquia de l'Immaculat Cor de Maria,Parròquia,C Sant Antoni Maria Claret 45,41.406,2.167
Centre Cívic Guinardó,Centre,Ronda del Guinardó 113,41.416,2.173
Jardins Mestre Balcells,Jardins,Carrer de Sant Salvador 63,41.408,2.155
Mercat Guineueta,Mercat,Passeig de Valldaura 186,41.439,2.17
Centre Cívic Casa del Rellotge,Centre,Passeig de la Zona Franca 116,41.358,2.141
Monument Arc de Triomf de Barcelona,otro,Pg Lluís Companys 15,41.391,2.181
Torre Bellesguard  Gaudí  Casa Figueres,otro,C Bellesguard 16,41.409,2.127
Torre de Collserola,otro,Ctra Vallvidrera Tibidabo 8,41.416,2.112
Mercat Barceloneta,Mercat,Plaça del Poeta Boscà 1,41.38,2.189
Mercat Ninot,Mercat,Carrer de Mallorca 133,41.388,2.154
Parròquia de Santa Teresa de l'Infant Jesús,Parròquia,Via Augusta 68,41.401,2.152
Casa Francesc Cama,otro,C Gran de Gràcia 77,41.4,2.155
Casa Madurell,otro,C Torrijos 14,41.403,2.16
Jardins del  Baix Guinardó,Jardins,C Marina 372,41.41,2.169
Museu de Carruatges del Foment,Museu,Pl Josep Pallach 8,41.434,2.15
Parc de Joan Miró,Parc,Carrer d'Aragó 2,41.379,2.147
Parròquia de la Mare de Déu del Coll,Parròquia,C Santuari 30,41.42,2.151
Edifici d'habitatges Gran de Gràcia 67,otro,C Gran de Gràcia 67,41.4,2.155
Farmàcia de Bolós Giralt,otro,Rbla Catalunya 77,41.392,2.162
Antiga Fàbrica d'Estampació Tèxtil Can Ricart,otro,C Emília Coranty 33,41.409,2.198
Centre Esportiu Municipal Can Caralleu,Centre,Carrer dels Esports 2,41.401,2.111
Vall d'Hebron Barcelona Hospital Campus,otro,Pg Vall d'Hebron 119,41.428,2.143
Casa Terradas  Casa de les Punxes,otro,Av Diagonal 420,41.398,2.164
El Polvorí i Cos de Guàrdia,otro,C Segura 34,41.365,2.143
Parc Central de Nou Barris,Parc,Pl Major de Nou Barris 1,41.437,2.171
Carrer Pinar del Rio,otro,C Matanzas 30,41.422,2.182
Parròquia de Sant Vicenç de Sarrià,Parròquia,C Rector Voltà 5,41.399,2.121
Residència Militar d'Estudiants Mateo Calabro,otro,Capità Arenas 52,41.393,2.125
Institut Químic de Sarrià  Campus Sarrià  IQS,otro,Via Augusta 390,41.404,2.119
Seu del Districte de SantsMontjuïc,destacat,Carrer de la Creu Coberta 104,41.375,2.142
Fundació Orfeó Gracienc,otro,C Astúries 83,41.405,2.156
Parròquia de Sant Joan de Gràcia,Parròquia,C Santa Creu 2,41.405,2.157
Educa +,otro,C Sant Quintí 12,41.413,2.18
Seu del Districte de SarriàSant Gervasi,otro,Plaça del Consell de la Vila 7,41.399,2.121
Palau de Congressos *Pavelló 5,Palau,Av Reina Maria Cristina 1,41.372,2.152
Centre Educatiu CETT,Centre,Av Can Marcet 36,41.435,2.148
Universitat Nacional d'Educació a Distància *Barcelona,otro,Av Rio de Janeiro 56,41.436,2.18
