date,sound_level_mean,lat,lon
2019-09-12,70.92,41.375,2.167
2019-09-13,70.9,41.375,2.167
2019-09-14,70.69,41.375,2.167
2019-09-15,69.9,41.375,2.167
2019-09-16,70.8,41.375,2.167
2019-09-17,71.11,41.375,2.167
2019-09-18,71.11,41.375,2.167
2019-09-19,71.43,41.375,2.167
2019-09-20,71.5,41.375,2.167
2019-09-21,71.55,41.375,2.167
2019-09-22,71.18,41.375,2.167
2019-09-23,71.42,41.375,2.167
2019-09-24,71.22,41.375,2.167
2019-09-25,71.14,41.375,2.167
2019-09-26,71.08,41.375,2.167
2019-09-27,71.68,41.375,2.167
2019-09-28,71.11,41.375,2.167
2019-09-29,70.13,41.375,2.167
2019-09-30,71.19,41.375,2.167
2019-10-01,71.16,41.375,2.167
2019-10-02,71.09,41.375,2.167
2019-10-03,70.71,41.375,2.167
2019-10-04,71.29,41.375,2.167
2019-10-05,70.9,41.375,2.167
2019-10-06,70.32,41.375,2.167
2019-10-07,70.99,41.375,2.167
2019-10-08,70.73,41.375,2.167
2019-10-09,70.87,41.375,2.167
2019-10-10,71.21,41.375,2.167
2019-10-11,71.42,41.375,2.167
2019-10-12,71.18,41.375,2.167
2019-10-13,70.28,41.375,2.167
2019-10-14,71.97,41.375,2.167
2019-10-15,71.02,41.375,2.167
2019-10-16,70.27,41.375,2.167
2019-10-17,71.27,41.375,2.167
2019-10-18,70.21,41.375,2.167
2019-10-19,71.59,41.375,2.167
2019-10-20,70.35,41.375,2.167
2019-10-21,71.1,41.375,2.167
2019-10-22,71.46,41.375,2.167
2019-10-23,73.18,41.375,2.167
2019-10-24,71.16,41.375,2.167
2019-10-25,71.24,41.375,2.167
2019-10-26,70.94,41.375,2.167
2019-10-27,70.99,41.375,2.167
2019-10-28,70.92,41.375,2.167
2019-10-29,71.14,41.375,2.167
2019-10-30,71.12,41.375,2.167
2019-10-31,71.64,41.375,2.167
2019-11-01,70.79,41.375,2.167
2019-11-02,70.77,41.375,2.167
2019-11-03,69.55,41.375,2.167
2019-11-04,70.36,41.375,2.167
2019-11-05,70.39,41.375,2.167
2019-11-06,70.85,41.375,2.167
2019-11-07,70.45,41.375,2.167
2019-11-08,70.98,41.375,2.167
2019-11-09,70.31,41.375,2.167
2019-11-10,70.23,41.375,2.167
2019-11-11,70.52,41.375,2.167
2019-11-12,70.75,41.375,2.167
2019-11-13,70.45,41.375,2.167
2019-11-14,71.74,41.375,2.167
2019-11-15,71.33,41.375,2.167
2019-11-16,71.08,41.375,2.167
2019-11-17,69.88,41.375,2.167
2019-11-18,70.88,41.375,2.167
2019-11-19,70.74,41.375,2.167
2019-11-20,70.68,41.375,2.167
2019-11-21,70.86,41.375,2.167
2019-11-22,71.65,41.375,2.167
2019-11-23,71.56,41.375,2.167
2019-11-24,69.49,41.375,2.167
2019-11-25,70.92,41.375,2.167
2019-11-26,70.77,41.375,2.167
2019-11-27,70.25,41.375,2.167
2019-11-28,70.83,41.375,2.167
2019-11-29,70.33,41.375,2.167
2019-11-30,69.8,41.375,2.167
2019-12-01,69.18,41.375,2.167
2019-12-02,69.68,41.375,2.167
2019-12-03,69.52,41.375,2.167
2019-12-04,71.49,41.375,2.167
2019-12-05,71.0,41.375,2.167
2019-12-06,69.29,41.375,2.167
2019-12-07,69.41,41.375,2.167
2019-12-08,69.09,41.375,2.167
2019-12-09,69.58,41.375,2.167
2019-12-10,69.28,41.375,2.167
2019-12-11,69.38,41.375,2.167
2019-12-12,69.6,41.375,2.167
2019-12-13,69.8,41.375,2.167
2019-12-14,69.6,41.375,2.167
2019-12-15,69.15,41.375,2.167
2019-12-16,69.96,41.375,2.167
2019-12-17,69.91,41.375,2.167
2019-12-18,70.02,41.375,2.167
2019-12-19,70.48,41.375,2.167
2019-12-20,71.28,41.375,2.167
2019-12-21,69.51,41.375,2.167
2019-12-22,67.78,41.375,2.167
2019-12-23,68.82,41.375,2.167
2019-12-24,69.12,41.375,2.167
2019-12-25,67.78,41.375,2.167
2019-12-26,68.18,41.375,2.167
2019-12-27,68.9,41.375,2.167
2019-12-28,69.19,41.375,2.167
2019-12-29,68.31,41.375,2.167
2019-12-30,69.57,41.375,2.167
2019-12-31,69.38,41.375,2.167
2019-07-01,66.96,41.395,2.153
2019-07-02,66.75,41.395,2.153
2019-07-03,66.89,41.395,2.153
2019-07-04,66.72,41.395,2.153
2019-07-05,67.51,41.395,2.153
2019-07-06,67.04,41.395,2.153
2019-07-07,66.42,41.395,2.153
2019-07-08,68.07,41.395,2.153
2019-07-09,66.94,41.395,2.153
2019-07-10,71.19,41.395,2.153
2019-07-11,68.78,41.395,2.153
2019-07-12,69.7,41.395,2.153
2019-07-13,66.92,41.395,2.153
2019-07-14,66.0,41.395,2.153
2019-07-15,68.32,41.395,2.153
2019-07-16,68.21,41.395,2.153
2019-07-17,70.15,41.395,2.153
2019-07-18,67.39,41.395,2.153
2019-07-19,68.2,41.395,2.153
2019-07-20,67.01,41.395,2.153
2019-07-21,66.37,41.395,2.153
2019-07-22,66.89,41.395,2.153
2019-07-23,66.4,41.395,2.153
2019-07-24,67.03,41.395,2.153
2019-07-25,67.06,41.395,2.153
2019-07-26,67.15,41.395,2.153
2019-07-27,67.85,41.395,2.153
2019-07-28,66.01,41.395,2.153
2019-07-29,66.72,41.395,2.153
2019-07-30,67.09,41.395,2.153
2019-07-31,67.07,41.395,2.153
2019-08-01,66.93,41.395,2.153
2019-08-02,67.23,41.395,2.153
2019-08-03,65.92,41.395,2.153
2019-08-04,65.19,41.395,2.153
2019-08-05,65.95,41.395,2.153
2019-08-06,66.38,41.395,2.153
2019-08-07,66.62,41.395,2.153
2019-08-08,66.18,41.395,2.153
2019-08-09,66.83,41.395,2.153
2019-08-10,66.23,41.395,2.153
2019-08-11,65.05,41.395,2.153
2019-08-12,66.7,41.395,2.153
2019-08-13,65.82,41.395,2.153
2019-08-14,66.0,41.395,2.153
2019-08-15,65.25,41.395,2.153
2019-08-16,68.02,41.395,2.153
2019-08-17,66.32,41.395,2.153
2019-08-18,65.7,41.395,2.153
2019-08-19,66.51,41.395,2.153
2019-08-20,66.16,41.395,2.153
2019-08-21,66.52,41.395,2.153
2019-08-22,66.53,41.395,2.153
2019-08-23,66.32,41.395,2.153
2019-08-24,65.77,41.395,2.153
2019-08-25,65.26,41.395,2.153
2019-08-26,66.63,41.395,2.153
2019-08-27,66.98,41.395,2.153
2019-08-28,66.73,41.395,2.153
2019-08-29,66.59,41.395,2.153
2019-08-30,67.1,41.395,2.153
2019-08-31,66.18,41.395,2.153
2019-09-01,65.62,41.395,2.153
2019-09-02,66.5,41.395,2.153
2019-09-03,67.72,41.395,2.153
2019-09-04,66.98,41.395,2.153
2019-09-05,67.35,41.395,2.153
2019-09-06,67.78,41.395,2.153
2019-09-07,66.71,41.395,2.153
2019-09-08,67.21,41.395,2.153
2019-09-09,67.14,41.395,2.153
2019-09-10,69.58,41.395,2.153
2019-09-11,68.23,41.395,2.153
2019-09-12,67.02,41.395,2.153
2019-09-13,67.69,41.395,2.153
2019-09-14,67.16,41.395,2.153
2019-09-15,66.81,41.395,2.153
2019-09-16,66.53,41.395,2.153
2019-09-17,66.88,41.395,2.153
2019-09-18,67.1,41.395,2.153
2019-09-19,67.09,41.395,2.153
2019-09-20,68.34,41.395,2.153
2019-09-21,68.78,41.395,2.153
2019-09-22,67.2,41.395,2.153
2019-09-23,67.54,41.395,2.153
2019-09-24,66.33,41.395,2.153
2019-09-25,67.15,41.395,2.153
2019-09-26,67.63,41.395,2.153
2019-09-27,68.4,41.395,2.153
2019-09-28,67.7,41.395,2.153
2019-09-29,67.42,41.395,2.153
2019-09-30,67.25,41.395,2.153
2019-10-01,67.73,41.395,2.153
2019-10-02,67.25,41.395,2.153
2019-10-03,67.29,41.395,2.153
2019-10-04,68.29,41.395,2.153
2019-10-05,67.99,41.395,2.153
2019-10-06,67.69,41.395,2.153
2019-10-07,67.5,41.395,2.153
2019-10-08,67.25,41.395,2.153
2019-10-09,67.54,41.395,2.153
2019-10-10,67.62,41.395,2.153
2019-10-11,68.73,41.395,2.153
2019-10-12,68.19,41.395,2.153
